p_num,t_num,rating,t_name
511,26513,1,Throwbacks
511,15542,1,Lose Control (feat. Ciara & Fat Man Scoop)
511,26913,1,Toxic
511,5497,1,Crazy In Love
511,21167,1,Rock Your Body
511,13285,1,It Wasn't Me
511,29679,1,Yeah!
511,17317,1,My Boo
511,3878,1,Buttons
511,21778,1,Say My Name
511,10924,1,Hey Ya! - Radio Mix / Club Mix
511,20181,1,Promiscuous
511,21041,1,Right Where You Want Me - Radio Edit Version
511,2515,1,Beautiful Soul
511,14636,1,Leavin'
511,16432,1,Me & U
511,12647,1,Ice Box
511,22735,1,Sk8er Boi
511,21396,1,Run It!
511,4582,1,Check On It - feat. Bun B and Slim Thug
511,13709,1,"Jumpin', Jumpin'"
511,23059,1,Soak Up The Sun
511,28909,1,Where Is The Love?
511,23578,1,Stacy's Mom
511,13818,1,Just The Girl
511,29725,1,Yo (Excuse Me Miss)
511,29681,1,Year 3000
511,15179,1,Lip Gloss
511,7789,1,Everytime We Touch - Radio Edit
511,28699,1,Whatcha Say
511,16866,1,Miss Independent
511,19468,1,Party In The U.S.A.
511,25424,1,The Great Escape
511,20878,1,Replay
511,8709,1,Forever
511,30170,1,Your Love Is My Drug
511,4904,1,Closer
511,18885,1,One Less Lonely Girl
511,19377,1,Paper Planes
511,17190,1,Mr. Brightside
511,1246,1,All The Small Things
511,2582,1,Beep
511,23156,1,Somebody To Love
511,6352,1,Dirty Little Secret
511,2009,1,Baby
511,690,1,A Thousand Miles
511,15321,1,Livin on Sunday
511,21962,1,See You Again
511,11406,1,How Do You Sleep? - Featuring Ludacris
511,26365,1,This Is Me
511,17384,1,My Happy Ending
511,4584,1,Check Yes Juliet
511,25424,1,The Great Escape
69,1940,1,Awesome Playlist
69,7850,1,Eye of the Tiger
69,14900,1,Libera Me From Hell (Tengen Toppa Gurren Lagann)
69,19901,1,Pokémon Theme
69,5225,1,Concerning Hobbits (The Lord of the Rings)
69,25163,1,The Blood of Cuchulainn (The Boondock Saints)
69,10503,1,He's a Pirate (Pirates of the Caribbean)
69,27723,1,Very Bloody Tears (Castlevania II: Simon's Quest)
69,27354,1,U.N. Owen Was Her? (Remix)
69,12325,1,I am the Doctor in Utah
69,25876,1,The Room Where It Happens
69,21014,1,Right Hand Man
69,1042,1,Alexander Hamilton
69,17490,1,My Shot
69,23584,1,Stairway To Heaven
69,22363,1,Shine
69,9317,1,Ghost Love Score
69,5479,1,Crazy
69,24453,1,Sympathy For The Devil
69,9346,1,Gimme Shelter
69,8826,1,Free Bird
69,19548,1,Peace of Mind
69,8704,1,Foreplay / Long Time
69,11125,1,Hold the Line
69,4311,1,Carry on Wayward Son
69,3256,1,Bohemian Rhapsody - Remastered 2011
69,24372,1,Sweet Home Alabama
69,17075,1,More Than a Feeling
69,13880,1,Kashmir
69,25596,1,The Majestic Tale (Of A Madman In A Box)
69,24358,1,Sweet Child O' Mine
69,8762,1,Fortunate Son
69,21165,1,Rock You Like A Hurricane
69,26754,1,Tom Sawyer
69,20726,1,Red Barchetta
69,29644,1,YYZ
69,15154,1,Limelight
69,25195,1,The Camera Eye
69,29348,1,Witch Hunt
69,27802,1,Vital Signs
687,30455,1,korean 
687,15121,1,Like You
687,9049,1,GOOD (feat. ELO)
687,13058,1,Inferiority Complex (feat. Eunha)
687,19081,1,Ordinary Love
687,23552,1,Spring Day
687,934,1,Ah-Choo
687,1993,1,BREATHE
687,7907,1,FXXK WIT US
687,12278,1,I Will Show You
687,24574,1,Take Me
687,30773,1,꺼내 먹어요 (Eat)
687,18057,1,No Make Up
687,18656,1,Oh NaNa (Hidden. HUR YOUNG JI)
687,6683,1,Don't Recall
687,30785,1,양화대교 (Yanghwa Brdg)
687,23115,1,Some (feat.Geeks Lil Boi)
687,16467,1,Me Like Yuh
687,30784,1,사실은 The Truth Is
687,23102,1,Solo (feat. Hoody)
687,3441,1,Boys and Girls (feat. Babylon)
687,12330,1,I will go to you like the first snow
687,21295,1,Rose
687,1703,1,Aquaman
687,13808,1,Just One Day
687,27872,1,WHISTLE - KR Ver.
687,25608,1,The Manual
687,10637,1,Heartstrings
687,21955,1,See My Eyes (Heartstring OST)
687,4160,1,Can't Stop
687,30058,1,You're So Fine
687,6980,1,Drive (feat. Gray)
687,17192,1,Mr. Chu
687,18197,1,NoNoNo
687,6897,1,Dream
687,30778,1,두근거려 (Beautiful)
687,21049,1,Ring My Bell
687,13325,1,It's Definitely You
687,14264,1,LAST DANCE
687,7906,1,FXXK IT
687,30150,1,Your Eyes (feat. Jay Park)
687,1790,1,As If It's Your Last
687,27545,1,"Untitled, 2014 - KR Ver."
687,18533,1,OUTRO: Divina Commedia - KR Ver.
687,7124,1,"EYES, NOSE, LIPS - KR Ver."
687,28437,1,Wedding Dress
687,261,1,200%
687,21501,1,STAY - KR Ver.
687,286,1,21st Century Girl
687,30791,1,전야 前夜 The Eve
687,11074,1,Hola Hola
687,21213,1,Roll Deep
687,5715,1,DINOSAUR
687,14201,1,Ko Ko Bop
687,24991,1,That Girl (Feat. Loco)
687,29660,1,Yacht (K) [feat. Sik-K]
687,11085,1,Hold Me Tight
687,4878,1,Cliché
687,28624,1,What U do?
687,1501,1,Anck Su Namum
687,4025,1,Call You Bae
687,13159,1,Intro: Serendipity
687,5722,1,DNA
687,30334,1,dimple
687,16021,1,MIC Drop
696,30469,1,mat
696,5865,1,Danse macabre
696,19691,1,"Piano concerto No. 2 in G Minor, Op. 22: Piano concerto No. 2 in G Minor, Op. 22: II. Allegro scherzando"
696,7047,1,Dræm Girl
696,21532,1,Sad Valentine
696,29969,1,You Say I'm in Love
696,7019,1,Drowsy
696,22034,1,Serving Goffman
696,21895,1,Sea Song
696,8765,1,Fortune Only
696,15512,1,Looking out for You
696,17647,1,Necromancer
696,16899,1,Mistakes
696,23923,1,Strangest Eyes
696,13327,1,It's Elizabeth
696,20304,1,Pussy of my Dreams
696,207,1,19
696,17696,1,Neptune Estate
696,23166,1,Somebody's Talking
696,2680,1,Bent (Roi's Song)
696,13772,1,Just Get High
696,12002,1,I Love Seattle
696,5899,1,Dark as Days
696,7488,1,End It Now!
696,28726,1,When Did Your Heart Go Missing?
696,22569,1,Signs
696,27450,1,Under A Rock
696,27290,1,Two Weeks
696,29721,1,Yet Again
696,4074,1,Campus
696,16632,1,Mess Me Around
696,24675,1,Talk To Me
696,27030,1,Trip Switch
696,10571,1,Heart It Races - Dr Dog Version
696,2837,1,Big Decisions
696,13311,1,It's All in Vain
696,6008,1,Deadwater
696,3916,1,C U Girl
696,10169,1,HOME
696,3942,1,CONTACTS
696,4113,1,Can't Come Down
696,15981,1,Luv
696,14945,1,Life Is What You Make It
696,5283,1,Contraband
696,16876,1,Miss You
696,16996,1,Money Won't Pay
696,12372,1,I'll Fall
696,18401,1,Nothing's Gonna Hurt You Baby
696,867,1,Affection
696,11982,1,I Like You
696,23912,1,Strange to Hear
696,24369,1,Sweet Emotion
696,19758,1,Pink City
696,8411,1,First Balloon To Nice
696,21343,1,Rubdown
696,23034,1,So Much Love So Little Time
696,14501,1,Last Of The Good Old Days
696,21874,1,Screaming
696,15859,1,Love's Lost Guarantee
696,174,1,10:1
696,5590,1,Crush The Camera
696,7676,1,Every Moment
696,7497,1,Endgame
696,7323,1,El Scorcho
696,27693,1,Veldt
696,19525,1,Patroklos
696,30621,1,suncream
696,5613,1,Crying in Public
696,13389,1,It's Your Body 4
696,19948,1,Poppies
696,13788,1,Just Kiss Her
696,13061,1,Infinity
696,26887,1,Touch My Body
